country,state,sigle
brazil,Acre,AC
brazil,Alagoas,AL
brazil,Amapa,AP
brazil,Amazonas,AM
brazil,Bahia,BA
brazil,Ceara,CE
brazil,EspiritoSanto,ES
brazil,Goias,GO
brazil,Maranhão,MA
brazil,MatoGrosso,MT
brazil,MatoGrossodoSul,MS
brazil,MinasGerais,MG
brazil,Para,PA
brazil,Paraaba,PB
brazil,Parana,PR
brazil,Pernambouc,PE
brazil,Piaui,PI
brazil,RiodeJaneiro,RJ
brazil,RioGrandedoNorte,RN
brazil,RioGrandedoSul,RS
brazil,Rondania,RO
brazil,Roraima,RR
brazil,SantaCatarina,SC
brazil,SaoPaulo,SP
brazil,Sergipe,SE
brazil,Tocantins,TO
brazil,District federal,DF
